kód okresu,kód KÚ,názov obce
610,849642,Horné Príbelce
610,818232,Horné Strháre
610,810002,Horný Dačov Lom
610,819883,Hrušov
610,820946,Chrastince
610,821012,Chrťany
610,821292,Ipeľské Predmostie
610,823473,Kamenné Kosihy
610,823945,Kiarov
610,824135,Kleňany
610,825689,Koláre
610,826561,Kosihovce
610,826570,Kosihy nad Ipľom
610,827801,Kováčovce
610,831395,Lesenice
610,833568,Ľuboriečka
610,834963,Malá Čalomija
610,835692,Malé Straciny
610,835757,Malé Zlievce
610,835889,Malý Krtíš
610,838128,Modrý Kameň
610,838756,Muľa
610,839655,Nenince
610,841927,Nová Ves
610,843024,Obeckov
610,843687,Olováry
610,843903,Opatovská Nová Ves
610,843962,Opava
610,848751,Pôtor
610,849324,Pravica
610,849723,Príboj nad Tisovníkom
610,854522,Sečianky
610,854786,Seľany
610,854816,Selce pri Veľkom Krtíši
610,855162,Senné
610,855839,Sklabiná
610,856592,Slovenské Ďarmoty
610,856606,Slovenské Kľačany
610,859001,Stredné Plachtince
610,859478,Sucháň
610,859508,Suché Brezovo
610,860913,Širákov
610,861812,Šuľa
610,864323,Trebušovce
610,867641,Veľká Čalomija
610,867918,Veľká Ves nad Ipľom
610,868612,Veľké Straciny
610,868833,Veľké Zlievce
610,869058,Veľký Krtíš
610,869147,Veľký Lom
610,869295,Vieska nad Tisovníkom
610,869465,Vinica
610,870617,Vrbovka
610,871770,Záhorce
610,872440,Závada pri Chrťanoch
610,873608,Zombor
610,874302,Želovce
610,848786,Žihľava
611,,okres ZVOLEN
611,800333,Babiná
611,800392,Bacúrov
611,806447,Breziny
611,807125,Budča
611,865311,Budička
611,807915,Bzovská Lehôtka
611,811190,Dobrá Niva
611,813371,Dubové pri Zvolene
611,856291,Hájniky
611,819760,Hronská Breznica
611,865338,Kašova Lehôtka
611,827771,Kováčová
611,828157,Kráľová
611,831441,Lažteky
611,831433,Lešť I
611,991911,Lešť II
611,832057,Lieskovec
611,834131,Lukavica
611,834181,Lukové
611,836877,Michalková
611,873845,Môťová
611,843156,Očová
611,844527,Ostrá Lúka
611,846988,Pliešovce
611,831450,Podjavorie I
611,991929,Podjavorie II
611,847780,Podzámčok
611,856304,Rybáre
611,854361,Sampor
611,854417,Sása
611,855391,Sielnica
611,856088,Slatinka
611,865346,Tŕnie
611,866024,Turová
611,867845,Veľká Lúka
611,831468,Vidov Vrch
611,871915,Zaježová
611,873594,Zolná
611,873705,Zvolen
